Departamento,population,men,women
Montevideo,1302721,615186,687535
Artigas,77488,38085,39403
Canelones,608960,297666,311294
Cerro Largo,91260,44702,46558
Colonia,135757,66655,69102
Durazno,62010,30797,31213
Flores,26301,12968,13333
Florida,70324,34776,35548
Lavalleja,59173,29119,30054
Maldonado,212954,104260,108694
Paysandú,121838,60139,61699
Río Negro,57338,28776,28562
Rivera,109299,52739,56560
Rocha,80710,39609,41101
Salto,136195,66989,69206
San José,119718,59384,60334
Soriano,83684,41767,41917
Tacuarembó,96016,47339,48677
Treinta y Tres,47705,23522,24183
