Country,iso2,iso3,region,fragility,co2,sq_km,num_airports,population,mobiles
ARTIGAS,UY-AR,URY-AR,NORTE,42.1,180000,11928,2,73378,65000
CANELONES,UY-CA,URY-CA,METROPOLITANA,35.2,1200000,4536,3,588959,560000
CERRO LARGO,UY-CL,URY-CL,ESTE,40.5,210000,13648,2,89258,80000
COLONIA,UY-CO,URY-CO,OESTE,31.0,450000,6106,3,130710,125000
DURAZNO,UY-DU,URY-DU,CENTRO,38.4,190000,11643,2,59130,53000
FLORES,UY-FS,URY-FS,CENTRO,36.0,95000,5144,1,25193,22000
FLORIDA,UY-FD,URY-FD,CENTRO,37.1,220000,10417,1,69288,62000
LAVALLEJA,UY-LV,URY-LV,ESTE,39.0,185000,10016,1,58842,52000
MALDONADO,UY-MA,URY-MA,ESTE,32.5,580000,4793,3,192556,185000
MONTEVIDEO,UY-MO,URY-MO,METROPOLITANA,29.8,3100000,530,4,1380432,1450000
PAYSANDU,UY-PA,URY-PA,OESTE,36.8,320000,13922,2,119792,108000
RIO NEGRO,UY-RN,URY-RN,OESTE,35.0,280000,9282,2,54898,49000
RIVERA,UY-RV,URY-RV,NORTE,41.2,250000,9370,2,109266,98000
ROCHA,UY-RO,URY-RO,ESTE,38.0,200000,10551,2,74167,68000
SALTO,UY-SA,URY-SA,NORTE,37.5,340000,14163,2,133268,120000
SAN JOSE,UY-SJ,URY-SJ,SUR,33.4,310000,4992,1,118324,105000
SORIANO,UY-SO,URY-SO,OESTE,34.8,290000,9008,2,83119,76000
TACUAREMBO,UY-TA,URY-TA,NORTE,40.0,270000,15438,2,92949,84000
TREINTA Y TRES,UY-TT,URY-TT,ESTE,41.8,160000,9529,1,50471,45000
